TABLE NO.  2
 ETA1        ETA2        ETA3        ETA4        ETA5
  0.0000E+00 -7.7231E-01 -4.6928E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.7231E-01 -4.6928E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.7231E-01 -4.6928E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.7231E-01 -4.6928E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.7231E-01 -4.6928E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.7231E-01 -4.6928E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0999E-01 -2.2488E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0999E-01 -2.2488E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0999E-01 -2.2488E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0999E-01 -2.2488E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0999E-01 -2.2488E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0999E-01 -2.2488E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0999E-01 -2.2488E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.0167E-01  9.4965E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.0167E-01  9.4965E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.0167E-01  9.4965E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.0167E-01  9.4965E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.0167E-01  9.4965E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.0167E-01  9.4965E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.7109E-01  2.5423E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.7109E-01  2.5423E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.7109E-01  2.5423E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.7109E-01  2.5423E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.7109E-01  2.5423E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9254E-01 -2.6566E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9254E-01 -2.6566E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9254E-01 -2.6566E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9254E-01 -2.6566E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9254E-01 -2.6566E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9254E-01 -2.6566E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9254E-01 -2.6566E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.9254E-01 -2.6566E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.5198E-01  1.3319E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.5198E-01  1.3319E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.5198E-01  1.3319E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.5198E-01  1.3319E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.5198E-01  1.3319E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.5198E-01  1.3319E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.6703E-01  5.4706E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.6703E-01  5.4706E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.6703E-01  5.4706E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.6703E-01  5.4706E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.6703E-01  5.4706E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.3056E-01 -9.4928E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.3056E-01 -9.4928E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.3056E-01 -9.4928E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.3056E-01 -9.4928E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.3056E-01 -9.4928E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.3056E-01 -9.4928E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.3056E-01 -9.4928E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.3056E-01 -9.4928E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.3056E-01 -9.4928E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.3056E-01 -9.4928E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.3499E-02 -1.7439E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.3499E-02 -1.7439E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.3499E-02 -1.7439E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.3499E-02 -1.7439E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.3499E-02 -1.7439E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.3499E-02 -1.7439E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.3499E-02 -1.7439E-01  0.0000E+00  0.0000E+00
  0.0000E+00  5.0929E-01  3.7304E-01  0.0000E+00  0.0000E+00
  0.0000E+00  5.0929E-01  3.7304E-01  0.0000E+00  0.0000E+00
  0.0000E+00  5.0929E-01  3.7304E-01  0.0000E+00  0.0000E+00
  0.0000E+00  5.0929E-01  3.7304E-01  0.0000E+00  0.0000E+00
  0.0000E+00  5.0929E-01  3.7304E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.5321E-01  3.8302E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.5321E-01  3.8302E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.5321E-01  3.8302E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.5321E-01  3.8302E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.5321E-01  3.8302E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.5321E-01  3.8302E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -5.0588E-01  1.7161E-03  0.0000E+00  0.0000E+00
  0.0000E+00 -5.0588E-01  1.7161E-03  0.0000E+00  0.0000E+00
  0.0000E+00 -5.0588E-01  1.7161E-03  0.0000E+00  0.0000E+00
  0.0000E+00 -5.0588E-01  1.7161E-03  0.0000E+00  0.0000E+00
  0.0000E+00 -5.0588E-01  1.7161E-03  0.0000E+00  0.0000E+00
  0.0000E+00 -5.0588E-01  1.7161E-03  0.0000E+00  0.0000E+00
  0.0000E+00  5.6396E-01 -7.2642E-01  0.0000E+00  0.0000E+00
  0.0000E+00  5.6396E-01 -7.2642E-01  0.0000E+00  0.0000E+00
  0.0000E+00  5.6396E-01 -7.2642E-01  0.0000E+00  0.0000E+00
  0.0000E+00  5.6396E-01 -7.2642E-01  0.0000E+00  0.0000E+00
  0.0000E+00  5.6396E-01 -7.2642E-01  0.0000E+00  0.0000E+00
  0.0000E+00  5.6396E-01 -7.2642E-01  0.0000E+00  0.0000E+00
  0.0000E+00  5.6396E-01 -7.2642E-01  0.0000E+00  0.0000E+00
  0.0000E+00  5.6396E-01 -7.2642E-01  0.0000E+00  0.0000E+00
  0.0000E+00  3.7095E-01  4.6127E-02  0.0000E+00  0.0000E+00
  0.0000E+00  3.7095E-01  4.6127E-02  0.0000E+00  0.0000E+00
  0.0000E+00  3.7095E-01  4.6127E-02  0.0000E+00  0.0000E+00
  0.0000E+00  3.7095E-01  4.6127E-02  0.0000E+00  0.0000E+00
  0.0000E+00  3.7095E-01  4.6127E-02  0.0000E+00  0.0000E+00
  0.0000E+00  3.7095E-01  4.6127E-02  0.0000E+00  0.0000E+00
