TABLE NO.  1
 ROW         KA          V2          V3          CL          Q           IPRED       Y           DV          PRED        RES         WRES
  6.0100E+02  2.2319E+00  3.4613E+01  1.7338E+02  7.9261E+00  8.5985E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.0200E+02  2.2319E+00  3.4613E+01  1.7338E+02  7.9261E+00  8.5985E+00  2.6789E-01  2.6789E-01  2.5706E-01  1.2597E-01  1.3109E-01  6.4576E-02
  6.0300E+02  2.2319E+00  3.4613E+01  1.7338E+02  7.9261E+00  8.5985E+00  5.3584E-01  5.3584E-01  7.0798E-01  2.6447E-01  4.4351E-01  2.8789E+00
  6.0400E+02  2.2319E+00  3.4613E+01  1.7338E+02  7.9261E+00  8.5985E+00  5.6677E-01  5.6677E-01  5.8570E-01  2.9672E-01  2.8898E-01  8.9371E-01
  6.0500E+02  2.2319E+00  3.4613E+01  1.7338E+02  7.9261E+00  8.5985E+00  4.1272E-01  4.1272E-01  6.4982E-01  2.5432E-01  3.9550E-01  3.4668E+00
  6.0600E+02  2.2319E+00  3.4613E+01  1.7338E+02  7.9261E+00  8.5985E+00  1.8891E-01  1.8891E-01  1.8526E-01  1.5637E-01  2.8893E-02  7.4322E-02
  6.1100E+02  2.2319E+00  1.1290E+02  1.7338E+02  1.0672E+01  8.5985E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.1200E+02  2.2319E+00  1.1290E+02  1.7338E+02  1.0672E+01  8.5985E+00  8.9399E-02  8.9399E-02  8.6748E-02  1.3307E-01 -4.6326E-02 -3.0366E-01
  6.1300E+02  2.2319E+00  1.1290E+02  1.7338E+02  1.0672E+01  8.5985E+00  1.8923E-01  1.8923E-01  1.8008E-01  2.7196E-01 -9.1881E-02 -4.8848E-01
  6.1400E+02  2.2319E+00  1.1290E+02  1.7338E+02  1.0672E+01  8.5985E+00  2.1480E-01  2.1480E-01  1.9879E-01  2.9394E-01 -9.5149E-02 -5.7391E-01
  6.1500E+02  2.2319E+00  1.1290E+02  1.7338E+02  1.0672E+01  8.5985E+00  1.9660E-01  1.9660E-01  1.9367E-01  2.4051E-01 -4.6836E-02 -3.9332E-01
  6.1600E+02  2.2319E+00  1.1290E+02  1.7338E+02  1.0672E+01  8.5985E+00  1.4767E-01  1.4767E-01  2.1215E-01  1.4672E-01  6.5429E-02  1.2022E+00
  6.1700E+02  2.2319E+00  1.1290E+02  1.7338E+02  1.0672E+01  8.5985E+00  8.4852E-02  8.4852E-02  7.6733E-02  5.9355E-02  1.7378E-02 -3.1658E-01
  6.2100E+02  2.2319E+00  6.7686E+01  1.7338E+02  3.3369E+01  8.5985E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.2200E+02  2.2319E+00  6.7686E+01  1.7338E+02  3.3369E+01  8.5985E+00  1.5714E-01  1.5714E-01  1.7612E-01  1.4744E-01  2.8675E-02  7.7095E-01
  6.2300E+02  2.2319E+00  6.7686E+01  1.7338E+02  3.3369E+01  8.5985E+00  2.6131E-01  2.6131E-01  2.7860E-01  2.6480E-01  1.3797E-02  3.4949E-01
  6.2400E+02  2.2319E+00  6.7686E+01  1.7338E+02  3.3369E+01  8.5985E+00  2.6449E-01  2.6449E-01  1.9066E-01  2.9600E-01 -1.0534E-01 -9.7171E-01
  6.2500E+02  2.2319E+00  6.7686E+01  1.7338E+02  3.3369E+01  8.5985E+00  1.8294E-01  1.8294E-01  1.8520E-01  2.6231E-01 -7.7115E-02 -6.7519E-01
  6.2600E+02  2.2319E+00  6.7686E+01  1.7338E+02  3.3369E+01  8.5985E+00  5.6894E-02  5.6894E-02  5.5120E-02  1.5435E-01 -9.9226E-02 -1.4321E+00
  6.3100E+02  2.2319E+00  1.0860E+02  1.7338E+02  1.4722E+01  8.5985E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.3300E+02  2.2319E+00  1.0860E+02  1.7338E+02  1.4722E+01  8.5985E+00  1.3648E-01  1.3648E-01  1.3855E-01  1.9597E-01 -5.7423E-02 -3.6478E-01
  6.3400E+02  2.2319E+00  1.0860E+02  1.7338E+02  1.4722E+01  8.5985E+00  2.0075E-01  2.0075E-01  1.6273E-01  2.8433E-01 -1.2160E-01 -8.8733E-01
  6.3500E+02  2.2319E+00  1.0860E+02  1.7338E+02  1.4722E+01  8.5985E+00  2.0617E-01  2.0617E-01  2.5910E-01  2.8029E-01 -2.1192E-02  2.3810E-01
  6.3600E+02  2.2319E+00  1.0860E+02  1.7338E+02  1.4722E+01  8.5985E+00  1.3935E-01  1.3935E-01  6.4629E-02  1.7248E-01 -1.0785E-01 -1.6445E+00
  6.4100E+02  2.2319E+00  1.0039E+02  1.7338E+02  1.0582E+01  8.5985E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.4200E+02  2.2319E+00  1.0039E+02  1.7338E+02  1.0582E+01  8.5985E+00  6.1862E-02  6.1862E-02  5.6887E-02  8.2400E-02 -2.5513E-02 -2.5888E-01
  6.4300E+02  2.2319E+00  1.0039E+02  1.7338E+02  1.0582E+01  8.5985E+00  2.1973E-01  2.1973E-01  1.1065E-01  2.8063E-01 -1.6998E-01 -1.5499E+00
  6.4400E+02  2.2319E+00  1.0039E+02  1.7338E+02  1.0582E+01  8.5985E+00  2.3776E-01  2.3776E-01  3.5931E-01  2.9233E-01  6.6980E-02  1.1471E+00
  6.4500E+02  2.2319E+00  1.0039E+02  1.7338E+02  1.0582E+01  8.5985E+00  2.1369E-01  2.1369E-01  2.0009E-01  2.3832E-01 -3.8231E-02 -3.4093E-01
  6.4600E+02  2.2319E+00  1.0039E+02  1.7338E+02  1.0582E+01  8.5985E+00  1.4951E-01  1.4951E-01  1.2642E-01  1.3586E-01 -9.4364E-03 -5.2757E-01
  6.4700E+02  2.2319E+00  1.0039E+02  1.7338E+02  1.0582E+01  8.5985E+00  8.0811E-02  8.0811E-02  7.3517E-02  5.4025E-02  1.9492E-02 -7.0621E-02
  6.4800E+02  2.2319E+00  1.0039E+02  1.7338E+02  1.0582E+01  8.5985E+00  4.9997E-02  4.9997E-02  6.2952E-02  2.9261E-02  3.3691E-02  1.6942E+00
  6.5100E+02  2.2319E+00  9.6401E+01  1.7338E+02  1.6320E+01  8.5985E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
